t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,2,0,1,0,0,0.82012,0.57219,0,0,0,0,0,0,0,0,0.0034,0,0,0,0.073563,0.073638,0.073638,0.073563,0,0,0,-0.69019,1.8767,-0.013985
0.01,2,7.7773e-10,1,-4.1402e-06,2.8884e-06,0.82012,0.57219,-1.1427e-07,3.1067e-07,3.3998e-05,-1.197e-07,0.0020101,-3.3793e-13,-3.4205e-05,9.2988e-05,0.0033993,0,0,0,0.073564,0.073637,0.073637,0.073564,-0.0068106,0.018513,-0.00013854,-0.67196,1.826,-0.013724
0.02,2,1.2376e-08,1,-1.6412e-05,1.1448e-05,0.82012,0.57219,-9.0809e-07,2.4684e-06,6.7982e-05,-6.4398e-07,0.0039656,-5.4653e-12,-0.00013561,0.00036858,0.0033972,0,0,0,0.073565,0.073636,0.073636,0.073565,-0.01344,0.036522,-0.00027449,-0.65393,1.7758,-0.013466
0.03,2,6.2312e-08,1,-3.6593e-05,2.5522e-05,0.82012,0.57219,-3.0444e-06,8.2742e-06,0.00010194,-1.5815e-06,0.0058671,-2.7957e-11,-0.0003024,0.00082176,0.0033938,0,0,0,0.073566,0.073635,0.073635,0.073566,-0.01989,0.054031,-0.00040786,-0.63611,1.7262,-0.01321
0.04,2,1.9586e-07,1,-6.4466e-05,4.4954e-05,0.82012,0.57219,-7.1682e-06,1.9479e-05,0.00013585,-2.9409e-06,0.0077151,-8.9253e-11,-0.00053281,0.0014476,0.0033891,0,0,0,0.073567,0.073634,0.073634,0.073567,-0.026163,0.071048,-0.00053869,-0.61851,1.6771,-0.012956
0.05,2,4.7557e-07,1,-9.9812e-05,6.9592e-05,0.82012,0.57219,-1.3907e-05,3.7785e-05,0.00016972,-4.7305e-06,0.0095104,-2.2003e-10,-0.00082508,0.0022411,0.0033831,0,0,0,0.073568,0.073633,0.073633,0.073568,-0.032261,0.087576,-0.00066698,-0.60111,1.6286,-0.012704
0.06,2,9.8074e-07,1,-0.00014242,9.9282e-05,0.82012,0.57219,-2.387e-05,6.4844e-05,0.00020351,-6.9587e-06,0.011253,-4.6058e-10,-0.0011775,0.0031975,0.0033758,0,0,0,0.073569,0.073632,0.073632,0.073569,-0.038186,0.10362,-0.00079278,-0.58393,1.5806,-0.012455
0.07,2,1.807e-06,1,-0.00019207,0.00013388,0.82012,0.57219,-3.7651e-05,0.00010226,0.00023723,-9.6336e-06,0.012945,-8.6108e-10,-0.0015882,0.0043119,0.0033672,0,0,0,0.07357,0.073631,0.073631,0.07357,-0.04394,0.11919,-0.00091608,-0.56695,1.5332,-0.012207
0.08,2,3.0657e-06,1,-0.00024857,0.00017322,0.82012,0.57219,-5.5824e-05,0.00015159,0.00027085,-1.2763e-05,0.014585,-1.4819e-09,-0.0020557,0.0055797,0.0033574,0,0,0,0.073571,0.07363,0.07363,0.07357,-0.049525,0.13429,-0.0010369,-0.55018,1.4863,-0.011962
0.09,2,4.8836e-06,1,-0.00031169,0.00021718,0.82012,0.57219,-7.8948e-05,0.00021435,0.00030437,-1.6356e-05,0.016175,-2.3941e-09,-0.0025782,0.0069961,0.0033465,0,0,0,0.073571,0.073629,0.073629,0.073571,-0.054944,0.14892,-0.0011553,-0.53361,1.4399,-0.011719
0.1,2,7.4023e-06,1,-0.00038125,0.00026559,0.82012,0.57219,-0.00010756,0.00029199,0.00033778,-2.0418e-05,0.017715,-3.6791e-09,-0.003154,0.0085565,0.0033343,0,0,0,0.073572,0.073628,0.073628,0.073572,-0.060198,0.16309,-0.0012713,-0.51725,1.3941,-0.011479
0.11,2,1.0778e-05,1,-0.00045703,0.00031832,0.82012,0.57219,-0.0001422,0.00038594,0.00037105,-2.4959e-05,0.019206,-5.4296e-09,-0.0037816,0.010256,0.0033211,0,0,0,0.073573,0.073627,0.073627,0.073573,-0.06529,0.1768,-0.0013849,-0.50109,1.3488,-0.01124
0.12,2,1.518e-05,1,-0.00053883,0.00037523,0.82012,0.57219,-0.00018336,0.00049757,0.00040419,-2.9986e-05,0.020648,-7.7493e-09,-0.0044593,0.012091,0.0033067,0,0,0,0.073574,0.073626,0.073626,0.073574,-0.070221,0.19006,-0.0014961,-0.48514,1.304,-0.011004
0.13,2,2.0793e-05,1,-0.00062647,0.00043618,0.82012,0.57219,-0.00023155,0.0006282,0.00043718,-3.5505e-05,0.022042,-1.0753e-08,-0.0051855,0.014056,0.0032911,0,0,0,0.073575,0.073625,0.073625,0.073574,-0.074993,0.20288,-0.001605,-0.46939,1.2598,-0.010769
