t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-1.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.79254,0.60983,0.0,0.0,0.0,0,0,0,0,0,0,0.12362922563458974,0.016471127764449475,0.1247434033237967,0.0002070733070144207,0,0,0,0,0,0
0.0010542038914560681,-0.9995655629604944,-0.49992320983374755,0.5015522207199951,9.178241512709567e-05,0.009768177521946106,-0.01251126258805798,0.00034935826332491957,0.0004682248847762223,0.7903500321512149,0.6327159171309588,-0.4832141145406292,0.0363732148489507,-0.003401591624448099,0,0,0,0,0,0,0.12333936228816543,0.10875135697081385,0.12475616422439313,0.0001677646697603626,0,0,0,0,0,0
0.0021084077829121362,-0.9991310192828335,-0.49983426161074684,0.503091223797326,0.00019799825757572728,0.023366141876356786,-0.025495505673982854,0.0006520541743539231,0.000894952399551855,0.7775970984854653,0.643704642054856,-0.7733087050924098,0.2653794515683775,-0.026958983563923546,0,0,0,0,0,0,0.10748856160111384,0.12384698696613626,0.12493755611100724,0.001564867744742211,0,0,0,0,0,0
0.0031626116743682046,-0.9986963539608775,-0.49973111697798445,0.5046169682734591,0.00031572113965863376,0.03702010957711937,-0.038045136405309245,0.0008614968853809179,0.001229640150114185,0.7663284376113271,0.6518765575229953,-0.9995917930255716,0.5560277748632835,-0.05040823405936222,0,0,0,0,0,0,0.03622623597107058,0.12421294739795631,0.09465771773886315,0.007132803505664679,0,0,0,0,0,0
0.0042168155658242725,-0.9982615604058886,-0.4996155569557391,0.5061301793982435,0.00043230306483103956,0.04713165867545876,-0.04962355833571639,0.0009508145575025962,0.0014477096945344102,0.7568934169317763,0.6582735900412773,-0.9977593543605455,0.9231706923294581,-0.06267073934567051,0,0,0,0,0,0,0.1174867990901782,0.12417170765486406,0.11406395217996768,0.10706465627224868,0,0,0,0,0,0
0.00527101945728034,-0.9978266241769287,-0.4994854969854083,0.5076309232102774,0.0005736420067224801,0.06471900287481155,-0.062022571608089785,0.0009683110605759357,0.001592509978404986,0.7491834692349575,0.6638543441032535,-0.9978858529425969,0.9541244489672143,-0.06709032559907861,0,0,0,0,0,0,0.12323243714652388,0.1240773445216548,0.12123363160998803,0.12045445497304158,0,0,0,0,0,0
0.006325223348736408,-0.9973915277569193,-0.4993365080598634,0.5091188831344374,0.0007221514449954018,0.08327806011965634,-0.07420731057226133,0.00098348979777014,0.0017266267574260353,0.7428020663360582,0.6690842269257392,-0.9978193937753954,0.9574557419650556,-0.06844805251545402,0,0,0,0,0,0,0.1235906884718555,0.12402293600289636,0.12237248759279268,0.1220623151836766,0,0,0,0,0,0
0.007379427240192476,-0.9969562640052809,-0.4991680181113503,0.5105943172462921,0.0008746375443781956,0.10195243611747914,-0.08610303404954288,0.0010001796959369649,0.001854461022451663,0.737370810948941,0.6740560340752564,-0.9978111020542458,0.9587015089925905,-0.06925065016896431,0,0,0,0,0,0,0.12378241268323721,0.12397993250100384,0.1228343046667599,0.12255427259141842,0,0,0,0,0,0
0.008433631131648545,-0.9965208277220308,-0.49897994326376904,0.5120575217483931,0.0010305822662376837,0.120671740204663,-0.09773297463945513,0.0010171676924414907,0.0019750606449538324,0.7326139080906516,0.6787556820828109,-0.9977268927536307,0.9602660882117982,-0.0697746684851612,0,0,0,0,0,0,0.1238806997559864,0.12396500735538211,0.12302942439562041,0.12291440990262575,0,0,0,0,0,0
0.009487835023104614,-0.9960852139517048,-0.4987722425226103,0.5135087688548536,0.0011900533350282733,0.1394237204945754,-0.10911647979675823,0.0010335780999303976,0.002087792305790621,0.7283361422881429,0.6831717111528985,-0.9976962622338231,0.961265184112398,-0.07019706130361002,0,0,0,0,0,0,0.12394500415297047,0.12396127760584405,0.12317206447704511,0.12313865943125898,0,0,0,0,0,0
0.010542038914560682,-0.9956494178386485,-0.49854488539749475,0.5149483134087828,0.0013528469207008016,0.15820228563689698,-0.1202729210308531,0.0010491686789391298,0.0021926585540904295,0.7244143367896169,0.6873117193815271,-0.9976716790065465,0.9619471217234034,-0.07055889827182055,0,0,0,0,0,0,0.12399023198349678,0.12396466517366524,0.1232851597653107,0.12329085948379663,0,0,0,0,0,0
0.011596242806016751,-0.995213434768385,-0.49829784770489327,0.516376383114038,0.001518746574724896,0.17700312829536385,-0.13121854255008655,0.0010638030725293821,0.0022897827490920572,0.7207702375417998,0.6911947896448214,-0.9976644484116876,0.9624630145911552,-0.07088040021852697,0,0,0,0,0,0,0.12402565468863162,0.12396964024388142,0.12339035534916962,0.12338940657928366,0,0,0,0,0,0
0.01265044669747282,-0.9947772603386096,-0.49803110708558285,0.5177932023726897,0.0016875708033101987,0.19582419550731997,-0.14196627788052793,0.0010774219364333485,0.0023793856228162304,0.7173517297506115,0.6948443214091827,-0.9976443471617769,0.9628613168458553,-0.07116233405609895,0,0,0,0,0,0,0.12405208258889065,0.12397826535693486,0.12347946271735662,0.12346226039011983,0,0,0,0,0,0
0.013704650588928889,-0.99434089035432,-0.4977446435887878,0.5191989713022681,0.001859111955871094,0.21466224543252493,-0.15252787350274793,0.0010900198358397826,0.0024617461163581322,0.7141194425948788,0.6982823504642799,-0.997428297821416,0.9631652298011696,-0.07141565903566494,0,0,0,0,0,0,0.12404522315285432,0.1240242712362643,0.12345606969437121,0.12359923623013927,0,0,0,0,0,0
